iter	Passed	Remaining
409	4180	6016
410	4190	6005
411	4200	5994
412	4210	5983
413	4221	5976
414	4232	5965
415	4241	5954
416	4251	5944
417	4260	5932
418	4270	5921
419	4280	5910
420	4290	5900
421	4299	5889
422	4309	5878
423	4320	5868
424	4329	5858
425	4339	5846
426	4348	5835
427	4358	5824
428	4368	5814
429	4378	5803
430	4388	5793
431	4398	5782
432	4407	5772
433	4417	5761
434	4427	5750
435	4437	5740
436	4447	5729
437	4457	5718
438	4467	5708
439	4476	5696
440	4486	5686
441	4496	5676
442	4506	5665
443	4516	5655
444	4525	5644
445	4535	5633
446	4545	5623
447	4555	5613
448	4564	5601
449	4574	5591
450	4585	5581
451	4594	5570
452	4604	5560
453	4615	5550
454	4624	5539
455	4633	5528
456	4643	5516
457	4653	5506
458	4663	5496
459	4672	5484
460	4682	5474
461	4692	5464
462	4702	5453
463	4712	5443
464	4721	5432
465	4731	5421
466	4741	5411
467	4750	5400
468	4760	5390
469	4770	5379
470	4788	5377
471	4798	5367
472	4808	5357
473	4818	5346
474	4827	5335
475	4837	5325
476	4849	5316
477	4858	5305
478	4867	5294
479	4877	5283
480	4887	5273
481	4896	5261
482	4905	5250
483	4914	5239
484	4924	5229
485	4934	5218
486	4945	5209
487	4958	5202
488	4968	5192
489	4978	5181
490	4987	5170
491	4997	5160
492	5007	5149
493	5017	5139
494	5026	5127
495	5036	5117
496	5046	5107
497	5055	5096
498	5064	5085
499	5074	5074
500	5084	5064
501	5094	5053
502	5104	5043
503	5113	5032
504	5123	5022
505	5133	5011
506	5142	5000
507	5152	4990
508	5162	4979
509	5172	4969
510	5182	4958
511	5191	4948
512	5201	4938
513	5211	4927
514	5221	4917
515	5231	4906
516	5241	4896
517	5250	4885
518	5262	4876
519	5272	4866
520	5281	4855
521	5290	4844
522	5300	4834
523	5311	4824
524	5320	4813
525	5330	4803
526	5339	4792
527	5349	4782
528	5358	4771
529	5368	4760
530	5377	4749
531	5387	4739
532	5396	4728
533	5406	4718
534	5416	4707
535	5426	4697
536	5436	4687
537	5447	4678
538	5456	4667
539	5466	4656
540	5476	4646
541	5486	4636
542	5495	4625
543	5504	4614
544	5516	4605
545	5525	4594
546	5534	4583
547	5544	4573
548	5554	4563
549	5564	4552
550	5574	4542
551	5584	4532
552	5594	4522
553	5603	4511
554	5613	4500
555	5622	4490
556	5632	4479
557	5642	4469
558	5651	4458
559	5661	4448
560	5670	4437
561	5680	4426
562	5689	4416
563	5698	4405
564	5708	4394
565	5718	4384
566	5727	4374
567	5737	4363
568	5747	4353
569	5758	4344
570	5767	4333
571	5776	4322
572	5787	4312
573	5796	4301
574	5806	4291
575	5815	4280
576	5824	4270
577	5834	4259
578	5844	4249
579	5854	4239
580	5864	4229
581	5874	4218
582	5883	4208
583	5893	4198
584	5903	4187
585	5913	4178
586	5923	4167
587	5933	4157
588	5942	4146
589	5952	4136
590	5962	4126
591	5972	4115
592	5981	4105
593	5991	4094
594	6000	4084
595	6009	4073
596	6019	4063
597	6029	4053
598	6039	4042
599	6048	4032
600	6058	4022
601	6067	4011
602	6076	4000
603	6088	3992
604	6098	3981
605	6108	3971
606	6118	3961
607	6126	3950
608	6135	3939
609	6144	3928
610	6156	3919
611	6165	3909
612	6175	3898
613	6185	3888
614	6195	3878
615	6204	3868
616	6214	3857
617	6223	3846
618	6232	3836
619	6242	3826
620	6252	3816
621	6262	3805
622	6272	3795
623	6282	3785
624	6291	3774
625	6300	3764
626	6311	3754
627	6324	3746
628	6333	3735
629	6342	3725
630	6351	3714
631	6361	3704
632	6371	3694
633	6381	3683
634	6391	3673
635	6401	3663
636	6410	3653
637	6420	3642
638	6430	3632
639	6440	3622
640	6452	3613
641	6461	3603
642	6471	3592
643	6479	3582
644	6489	3571
645	6499	3561
646	6508	3551
647	6519	3541
648	6528	3530
649	6538	3520
650	6547	3510
651	6556	3499
652	6566	3489
653	6575	3478
654	6585	3468
655	6594	3458
656	6604	3447
657	6614	3437
658	6623	3427
659	6634	3417
660	6644	3407
661	6653	3397
662	6663	3387
663	6672	3376
664	6682	3366
665	6692	3356
666	6702	3346
667	6712	3336
668	6722	3325
669	6734	3316
670	6743	3306
671	6752	3296
672	6762	3285
673	6772	3275
674	6782	3265
675	6792	3255
676	6802	3245
677	6811	3235
678	6821	3224
679	6830	3214
680	6840	3204
681	6849	3193
682	6858	3183
683	6868	3173
684	6878	3162
685	6887	3152
686	6897	3142
687	6907	3132
688	6917	3122
689	6926	3112
690	6936	3101
691	6946	3091
692	6955	3081
693	6964	3071
694	6975	3061
695	6984	3050
696	6994	3040
697	7003	3029
698	7012	3019
699	7021	3009
700	7030	2998
701	7040	2988
702	7049	2978
703	7058	2967
704	7067	2957
705	7077	2947
706	7087	2937
707	7097	2927
708	7106	2916
709	7115	2906
710	7123	2895
711	7133	2885
712	7142	2874
713	7152	2865
714	7162	2854
715	7172	2844
716	7182	2834
717	7191	2824
718	7200	2814
719	7209	2803
720	7220	2794
721	7230	2783
722	7240	2773
723	7249	2763
724	7258	2753
725	7268	2743
726	7277	2732
727	7287	2722
728	7297	2712
729	7307	2702
730	7316	2692
731	7326	2682
732	7335	2672
733	7345	2662
734	7354	2651
735	7363	2641
736	7373	2631
737	7383	2621
738	7392	2611
739	7402	2600
740	7411	2590
741	7421	2580
742	7431	2570
743	7440	2560
744	7449	2549
745	7459	2539
746	7468	2529
747	7477	2519
748	7487	2509
749	7495	2498
750	7504	2488
751	7514	2478
752	7524	2468
753	7533	2457
754	7543	2447
755	7552	2437
756	7562	2427
757	7572	2417
758	7581	2407
759	7591	2397
760	7600	2387
761	7610	2376
762	7619	2366
763	7629	2356
764	7638	2346
765	7648	2336
766	7657	2326
767	7666	2315
768	7676	2305
769	7685	2295
770	7694	2285
771	7705	2275
772	7714	2265
773	7724	2255
774	7734	2245
775	7743	2235
776	7753	2225
777	7762	2215
778	7772	2205
779	7782	2195
780	7791	2184
781	7801	2174
782	7810	2164
783	7819	2154
784	7829	2144
785	7838	2134
786	7848	2124
787	7857	2113
788	7866	2103
789	7876	2093
790	7885	2083
791	7895	2073
792	7904	2063
793	7913	2053
794	7923	2043
795	7931	2032
796	7940	2022
797	7950	2012
798	7959	2002
799	7968	1992
800	7977	1981
801	7986	1971
802	7996	1961
803	8005	1951
804	8015	1941
805	8025	1931
806	8035	1921
807	8044	1911
808	8054	1901
809	8064	1891
810	8072	1881
811	8081	1871
812	8091	1861
813	8101	1851
814	8110	1841
815	8120	1831
816	8130	1821
817	8140	1811
818	8149	1801
819	8158	1790
820	8168	1780
821	8178	1770
822	8187	1760
823	8197	1750
824	8207	1741
825	8218	1731
826	8226	1720
827	8236	1711
828	8246	1700
829	8255	1690
830	8264	1680
831	8273	1670
832	8283	1660
833	8292	1650
834	8301	1640
835	8313	1630
836	8323	1620
837	8331	1610
838	8341	1600
839	8350	1590
840	8360	1580
841	8369	1570
842	8379	1560
843	8389	1550
844	8399	1540
845	8408	1530
846	8417	1520
847	8425	1510
848	8435	1500
849	8444	1490
850	8454	1480
851	8463	1470
852	8473	1460
853	8482	1450
854	8491	1440
855	8499	1429
856	8508	1419
857	8518	1409
858	8527	1399
859	8537	1389
860	8546	1379
861	8556	1369
862	8565	1359
863	8575	1349
864	8584	1339
865	8593	1329
866	8602	1319
867	8612	1309
868	8622	1299
869	8629	1289
870	8639	1279
871	8648	1269
872	8656	1259
873	8666	1249
874	8677	1239
875	8685	1229
876	8696	1219
877	8705	1209
878	8712	1199
879	8721	1189
880	8730	1179
881	8739	1169
882	8748	1159
883	8757	1149
884	8767	1139
885	8776	1129
886	8785	1119
887	8795	1109
888	8804	1099
889	8813	1089
890	8823	1079
891	8835	1069
892	8845	1059
893	8855	1049
894	8866	1040
895	8876	1030
896	8886	1020
897	8896	1010
898	8905	1000
899	8915	990
900	8924	980
901	8933	970
902	8946	961
903	8955	951
904	8965	941
905	8975	931
906	8984	921
907	8994	911
908	9004	901
909	9013	891
910	9023	881
911	9033	871
912	9043	861
913	9052	851
914	9061	841
915	9071	831
916	9080	821
917	9090	812
918	9099	802
919	9108	792
920	9118	782
921	9128	772
922	9138	762
923	9147	752
924	9156	742
925	9167	732
926	9176	722
927	9185	712
928	9193	702
929	9202	692
930	9211	682
931	9220	672
932	9229	662
933	9238	652
934	9246	642
935	9255	632
936	9265	622
937	9274	613
938	9284	603
939	9293	593
940	9301	583
941	9310	573
942	9319	563
943	9327	553
944	9337	543
945	9346	533
946	9356	523
947	9365	513
948	9374	503
949	9383	493
950	9393	483
951	9403	474
952	9412	464
953	9421	454
954	9430	444
955	9438	434
956	9447	424
957	9457	414
958	9466	404
959	9476	394
960	9485	384
961	9493	375
962	9503	365
963	9512	355
964	9521	345
965	9530	335
966	9538	325
967	9547	315
968	9557	305
969	9567	295
970	9575	285
971	9588	276
972	9598	266
973	9607	256
974	9615	246
975	9625	236
976	9633	226
977	9645	216
978	9655	207
979	9665	197
980	9674	187
981	9684	177
982	9693	167
983	9702	157
984	9712	147
985	9721	138
986	9730	128
987	9744	118
988	9754	108
989	9764	98
990	9774	88
991	9782	78
992	9792	69
993	9808	59
994	9823	49
995	9837	39
996	9849	29
997	9863	19
998	9877	9
999	9891	0
